"id[String]","name[String]","commonTemplate[Asset Reference]","rareTemplate[Asset Reference]","epicTemplate[Asset Reference]","legendaryTemplate[Asset Reference]"
"Raptor","Ravenous Raptor","F4E068D2BD3BEDDE","0BADBADBADBADBAD","0BADBADBADBADBAD","0BADBADBADBADBAD"
"Skeleton","The Undead","48DCB3D8191902C2","0BADBADBADBADBAD","0BADBADBADBADBAD","0BADBADBADBADBAD"
"Skeleton2","The Undead","289EF345364C0461","0BADBADBADBADBAD","0BADBADBADBADBAD","0BADBADBADBADBAD"
"Skeleton3","The Undead","B955954EBB827D34","0BADBADBADBADBAD","0BADBADBADBADBAD","0BADBADBADBADBAD"
"Skeleton4","The Undead","6850D3893C75667A","0BADBADBADBADBAD","0BADBADBADBADBAD","0BADBADBADBADBAD"
"Dragon","Dragon Whelp","324E19AFCDD3F86C","6A0AACD1B5737A02","F4B2C5B3B39FA4FA","0BADBADBADBADBAD"
"Spider","Spider","1A22DE9FCDABDB46","0BADBADBADBADBAD","0BADBADBADBADBAD","0BADBADBADBADBAD"
"Bandit","Thieving Rascal","2FCC1278A193FA15","84C461660CFA3DAF","5A4871C804ED7D24","02ABB1A3BF1F71A5"
"MinionA","The Damned","252769A44796B3D7","0BADBADBADBADBAD","0BADBADBADBADBAD","0BADBADBADBADBAD"
"MinionB","The Blessed","D20C3D5620E9B10A","0BADBADBADBADBAD","0BADBADBADBADBAD","0BADBADBADBADBAD"
