"id[String]","name[String]","commonTemplate[Asset Reference]","rareTemplate[Asset Reference]","epicTemplate[Asset Reference]","legendaryTemplate[Asset Reference]"
"Raptor","Ravenous Raptor","944539DBCDC93D62","0BADBADBADBADBAD","0BADBADBADBADBAD","0BADBADBADBADBAD"
"Skeleton","The Undead","E3F3228EF9153C65","0BADBADBADBADBAD","0BADBADBADBADBAD","0BADBADBADBADBAD"
"Skeleton2","The Undead","7760A6D85D5BBBE3","0BADBADBADBADBAD","0BADBADBADBADBAD","0BADBADBADBADBAD"
"Skeleton3","The Undead","B2AE13D4DD18ABE9","0BADBADBADBADBAD","0BADBADBADBADBAD","0BADBADBADBADBAD"
"Skeleton4","The Undead","4547A53A8169C069","0BADBADBADBADBAD","0BADBADBADBADBAD","0BADBADBADBADBAD"
"Dragon","Dragon Whelp","821D52BCFF73E883","D0FFA27E33CB61D0","9EF5B96A8CEB488C","0BADBADBADBADBAD"
"Spider","Spider","4B41EB1D3F84F794","0BADBADBADBADBAD","0BADBADBADBADBAD","0BADBADBADBADBAD"
"Bandit","Thieving Rascal","D5D57541A2C27B13","D0F5AAC3F67729FA","28862875CAD32A7A","1FCA6704CD0B7657"
"MinionA","The Damned","ACC369EA0AE27A39","0BADBADBADBADBAD","0BADBADBADBADBAD","0BADBADBADBADBAD"
"MinionB","The Blessed","F6371F3C95FD7F84","0BADBADBADBADBAD","0BADBADBADBADBAD","0BADBADBADBADBAD"
