"id[String]","name[String]","commonTemplate[Asset Reference]","rareTemplate[Asset Reference]","epicTemplate[Asset Reference]","legendaryTemplate[Asset Reference]"
"Raptor","Ravenous Raptor","BC567CE1007C1A5D","0BADBADBADBADBAD","0BADBADBADBADBAD","0BADBADBADBADBAD"
"Skeleton","The Undead","4A07FB0AAE9D5117","0BADBADBADBADBAD","0BADBADBADBADBAD","0BADBADBADBADBAD"
"Skeleton2","The Undead","8378EE21A7A9823B","0BADBADBADBADBAD","0BADBADBADBADBAD","0BADBADBADBADBAD"
"Skeleton3","The Undead","14000235CF2CA799","0BADBADBADBADBAD","0BADBADBADBADBAD","0BADBADBADBADBAD"
"Skeleton4","The Undead","A3ABE111BF33B2AE","0BADBADBADBADBAD","0BADBADBADBADBAD","0BADBADBADBADBAD"
"Dragon","Dragon Whelp","65BB409BAD0A365E","5A01DA8FF682F2E4","0B2F7FAAE2D720E3","0BADBADBADBADBAD"
"Spider","Spider","B8992DAF177AF85E","0BADBADBADBADBAD","0BADBADBADBADBAD","0BADBADBADBADBAD"
"Bandit","Thieving Rascal","684BE433237380C1","D406C3629CA5A2FD","6A68EBB8BCB4287B","1F0179223D9EA595"
"MinionA","The Damned","66DE717C8EAA2F74","0BADBADBADBADBAD","0BADBADBADBADBAD","0BADBADBADBADBAD"
"MinionB","The Blessed","EFC2FCCEE1107414","0BADBADBADBADBAD","0BADBADBADBADBAD","0BADBADBADBADBAD"
